=== Rapport d'Audit des Transformations ===
Date : 2024-12-01 15:48:15

### Résumé Global ###
Total INFO : 1216
Total ERREURS : 2326
Total AVERTISSEMENTS : 0

### Détails des Transformations ###
2024-12-01 08:58:13,670 - INFO - TRANSFORMATION: Clean Duplicates | STATUS: SUCCESS | DETAILS: Removed 0 duplicate rows.
2024-12-01 08:58:14,112 - INFO - TRANSFORMATION: Clean Duplicates | STATUS: SUCCESS | DETAILS: Removed 0 duplicate rows.
2024-12-01 08:58:14,484 - INFO - TRANSFORMATION: Clean Duplicates | STATUS: SUCCESS | DETAILS: Removed 0 duplicate rows.
2024-12-01 08:58:14,853 - INFO - TRANSFORMATION: Clean Duplicates | STATUS: SUCCESS | DETAILS: Removed 0 duplicate rows.
2024-12-01 08:58:15,204 - INFO - TRANSFORMATION: Clean Duplicates | STATUS: SUCCESS | DETAILS: Removed 0 duplicate rows.
2024-12-01 08:58:15,694 - INFO - TRANSFORMATION: Clean Duplicates | STATUS: SUCCESS | DETAILS: Removed 0 duplicate rows.
2024-12-01 08:58:16,069 - INFO - TRANSFORMATION: Clean Duplicates | STATUS: SUCCESS | DETAILS: Removed 0 duplicate rows.
2024-12-01 08:58:16,741 - INFO - TRANSFORMATION: Clean Data for transactions | STATUS: SUCCESS | DETAILS: Data cleaned with 2155 rows after removing duplicates.
2024-12-01 08:58:16,987 - INFO - TRANSFORMATION: Clean Data for clients | STATUS: SUCCESS | DETAILS: Data cleaned with 91 rows after removing duplicates.
2024-12-01 08:58:17,187 - INFO - TRANSFORMATION: Clean Data for produits | STATUS: SUCCESS | DETAILS: Data cleaned with 77 rows after removing duplicates.
2024-12-01 08:58:17,369 - INFO - TRANSFORMATION: Clean Data for magasins | STATUS: SUCCESS | DETAILS: Data cleaned with 29 rows after removing duplicates.
2024-12-01 08:58:17,650 - INFO - TRANSFORMATION: Clean Data for exchange | STATUS: SUCCESS | DETAILS: Data cleaned with 27514 rows after removing duplicates.
2024-12-01 08:58:17,819 - INFO - TRANSFORMATION: Clean Data for rates | STATUS: SUCCESS | DETAILS: Data cleaned with 207 rows after removing duplicates.
2024-12-01 08:58:17,985 - INFO - TRANSFORMATION: Clean Data for categories | STATUS: SUCCESS | DETAILS: Data cleaned with 8 rows after removing duplicates.
2024-12-01 08:58:18,198 - INFO - TRANSFORMATION: Enrich Data | STATUS: SUCCESS | DETAILS: Data enriched with new column 'enriched_column'. 2155 rows.
2024-12-01 08:58:18,325 - INFO - TRANSFORMATION: Enrich Data | STATUS: SUCCESS | DETAILS: Data enriched with new column 'enriched_column'. 91 rows.
